party;newspaper;politician;count;mean;score
AfD;www.afdkompakt.de;AfD;3944;-0.073;-72
AfD;www.afdkompakt.de;Albrecht Glaser;31;-0.0431;-43
AfD;www.afdkompakt.de;Alexander Gauland;1443;-0.689;-688
AfD;www.afdkompakt.de;Alice Weidel;1402;-0.0491;-49
AfD;www.afdkompakt.de;Beatrix von Storch;51;-0.2075;-207
AfD;www.afdkompakt.de;Bernd Baumann;32;-0.342;-341
AfD;www.afdkompakt.de;Georg Pazderski;205;-0.4265;-426
AfD;www.afdkompakt.de;Jörg Meuthen;159;-0.1786;-178
AfD;www.afdkompakt.de;Leif-Erik Holm;34;-0.1429;-142
AfD;www.bayernkurier.de;AfD;152;-0.1417;-141
AfD;www.bild.de;AfD;1844;-0.1021;-102
AfD;www.bild.de;Alexander Gauland;426;-0.1218;-121
AfD;www.bild.de;Alice Weidel;251;-0.1087;-108
AfD;www.bild.de;Beatrix von Storch;82;-0.1208;-120
AfD;www.bild.de;Georg Pazderski;84;-0.0882;-88
AfD;www.bild.de;Jens Maier;40;-0.1692;-169
AfD;www.bild.de;Jörg Meuthen;173;-0.1518;-151
AfD;www.der-postillon.com;AfD;38;-0.2638;-263
AfD;www.faz.net;AfD;4548;-0.0482;-48
AfD;www.faz.net;Albrecht Glaser;40;-0.1218;-121
AfD;www.faz.net;Alexander Gauland;432;-0.0807;-80
AfD;www.faz.net;Alice Weidel;189;-0.1328;-132
AfD;www.faz.net;Beatrix von Storch;62;-0.1849;-184
AfD;www.faz.net;Georg Pazderski;50;-0.1635;-163
AfD;www.faz.net;Jens Maier;36;-0.0711;-71
AfD;www.faz.net;Jörg Meuthen;197;-0.1593;-159
AfD;www.focus.de;AfD;6473;-0.2018;-201
AfD;www.focus.de;Albrecht Glaser;54;-0.1467;-146
AfD;www.focus.de;Alexander Gauland;965;-0.1999;-199
AfD;www.focus.de;Alice Weidel;636;-0.2045;-204
AfD;www.focus.de;Beatrix von Storch;117;-0.2472;-247
AfD;www.focus.de;Georg Pazderski;115;-0.1232;-123
AfD;www.focus.de;Jens Maier;37;-0.3147;-314
AfD;www.focus.de;Jörg Meuthen;475;-0.1925;-192
AfD;www.focus.de;Kay Gottschalk;54;-0.1723;-172
AfD;www.fr.de;AfD;2106;-0.1307;-130
AfD;www.fr.de;Albrecht Glaser;45;-0.1432;-143
AfD;www.fr.de;Alexander Gauland;714;-0.1311;-131
AfD;www.fr.de;Alice Weidel;195;-0.1663;-166
AfD;www.fr.de;Beatrix von Storch;77;-0.2445;-244
AfD;www.fr.de;Georg Pazderski;46;-0.1507;-150
AfD;www.fr.de;Jörg Meuthen;84;-0.1061;-106
AfD;www.gruene.de;AfD;33;-0.2853;-285
AfD;www.handelsblatt.de;AfD;868;-0.1362;-136
AfD;www.handelsblatt.de;Alexander Gauland;153;-0.1538;-153
AfD;www.handelsblatt.de;Alice Weidel;75;-0.2038;-203
AfD;www.handelsblatt.de;Beatrix von Storch;38;-0.2223;-222
AfD;www.handelsblatt.de;Jörg Meuthen;60;-0.1364;-136
AfD;www.huffingtonpost.de;AfD;2928;-0.1102;-110
AfD;www.huffingtonpost.de;Alexander Gauland;1348;-0.0902;-90
AfD;www.huffingtonpost.de;Alice Weidel;257;-0.1525;-152
AfD;www.huffingtonpost.de;Beatrix von Storch;79;-0.2527;-252
AfD;www.huffingtonpost.de;Georg Pazderski;34;-0.0707;-70
AfD;www.huffingtonpost.de;Jörg Meuthen;138;-0.1591;-159
AfD;www.jungefreiheit.de;AfD;882;-0.2308;-230
AfD;www.jungefreiheit.de;Alexander Gauland;157;-0.2371;-237
AfD;www.jungefreiheit.de;Alice Weidel;126;-0.2315;-231
AfD;www.jungefreiheit.de;Beatrix von Storch;46;-0.3219;-321
AfD;www.jungefreiheit.de;Georg Pazderski;44;-0.2721;-272
AfD;www.jungefreiheit.de;Jörg Meuthen;79;-0.0792;-79
AfD;www.jungewelt.de;AfD;501;-0.1809;-180
AfD;www.jungewelt.de;Alexander Gauland;52;-0.1196;-119
AfD;www.n-tv.de;AfD;2793;-0.3233;-323
AfD;www.n-tv.de;Albrecht Glaser;33;-0.1317;-131
AfD;www.n-tv.de;Alexander Gauland;429;-0.1775;-177
AfD;www.n-tv.de;Alice Weidel;225;-0.2161;-216
AfD;www.n-tv.de;Beatrix von Storch;66;-0.25;-249
AfD;www.n-tv.de;Georg Pazderski;52;-0.0733;-73
AfD;www.n-tv.de;Jörg Meuthen;176;-0.1702;-170
AfD;www.neues-deutschland.de;AfD;1736;-0.1294;-129
AfD;www.neues-deutschland.de;Alexander Gauland;235;-0.2064;-206
AfD;www.neues-deutschland.de;Alice Weidel;63;-0.1059;-105
AfD;www.neues-deutschland.de;Beatrix von Storch;42;-0.3401;-340
AfD;www.neues-deutschland.de;Georg Pazderski;32;-0.1742;-174
AfD;www.neues-deutschland.de;Jörg Meuthen;62;-0.1624;-162
AfD;www.spiegel.de;AfD;3627;-0.1994;-199
AfD;www.spiegel.de;Albrecht Glaser;73;-0.2901;-290
AfD;www.spiegel.de;Alexander Gauland;661;-0.2151;-215
AfD;www.spiegel.de;Alice Weidel;370;-0.1763;-176
AfD;www.spiegel.de;Beatrix von Storch;84;-0.3006;-300
AfD;www.spiegel.de;Georg Pazderski;52;-0.0676;-67
AfD;www.spiegel.de;Jens Maier;32;-0.3303;-330
AfD;www.spiegel.de;Jörg Meuthen;225;-0.1895;-189
AfD;www.stern.de;AfD;905;-0.1733;-173
AfD;www.stern.de;Alexander Gauland;214;-0.1759;-175
AfD;www.stern.de;Alice Weidel;133;-0.1577;-157
AfD;www.stern.de;Beatrix von Storch;45;-0.3333;-333
AfD;www.stern.de;Jörg Meuthen;90;-0.3547;-354
AfD;www.sueddeutsche.de;AfD;2297;-0.0924;-92
AfD;www.sueddeutsche.de;Albrecht Glaser;37;-0.0956;-95
AfD;www.sueddeutsche.de;Alexander Gauland;444;-0.1006;-100
AfD;www.sueddeutsche.de;Alice Weidel;214;-0.1318;-131
AfD;www.sueddeutsche.de;Beatrix von Storch;67;-0.1036;-103
AfD;www.sueddeutsche.de;Georg Pazderski;66;-0.1257;-125
AfD;www.sueddeutsche.de;Jörg Meuthen;238;-0.107;-106
AfD;www.sueddeutsche.de;Petr Bystron;32;-0.0303;-30
AfD;www.tagesschau.de;AfD;675;-0.1148;-114
AfD;www.tagesschau.de;Alexander Gauland;163;-0.1179;-117
AfD;www.tagesschau.de;Alice Weidel;108;-0.107;-106
AfD;www.tagesschau.de;Jörg Meuthen;88;-0.0533;-53
AfD;www.tagesspiegel.de;AfD;1866;-0.1646;-164
AfD;www.tagesspiegel.de;Alexander Gauland;356;-0.1221;-122
AfD;www.tagesspiegel.de;Alice Weidel;185;-0.1392;-139
AfD;www.tagesspiegel.de;Beatrix von Storch;66;-0.1746;-174
AfD;www.tagesspiegel.de;Georg Pazderski;104;-0.0781;-78
AfD;www.tagesspiegel.de;Jens Maier;41;-0.1391;-139
AfD;www.tagesspiegel.de;Jörg Meuthen;91;-0.1179;-117
AfD;www.taz.de;AfD;2487;-0.1573;-157
AfD;www.taz.de;Alexander Gauland;328;-0.1452;-145
AfD;www.taz.de;Alice Weidel;176;-0.1376;-137
AfD;www.taz.de;Beatrix von Storch;85;-0.1903;-190
AfD;www.taz.de;Georg Pazderski;47;-0.1943;-194
AfD;www.taz.de;Jörg Meuthen;95;-0.1273;-127
AfD;www.unsere-zeit.de;AfD;171;-0.1499;-149
AfD;www.vorwaerts.de;AfD;441;-0.1654;-165
AfD;www.vorwaerts.de;Alexander Gauland;57;-0.2206;-220
AfD;www.welt.de;AfD;4391;-0.1553;-155
AfD;www.welt.de;Albrecht Glaser;87;-0.1578;-157
AfD;www.welt.de;Alexander Gauland;997;-0.1529;-152
AfD;www.welt.de;Alice Weidel;556;-0.1597;-159
AfD;www.welt.de;Armin-Paul Hampel;70;-0.241;-240
AfD;www.welt.de;Beatrix von Storch;159;-0.2522;-252
AfD;www.welt.de;Georg Pazderski;183;-0.1351;-135
AfD;www.welt.de;Jens Maier;54;-0.3529;-352
AfD;www.welt.de;Jörg Meuthen;499;-0.1847;-184
AfD;www.welt.de;Kay Gottschalk;45;-0.1442;-144
AfD;www.welt.de;Leif-Erik Holm;42;-0.0833;-83
AfD;www.welt.de;Petr Bystron;31;-0.1121;-112
AfD;www.zeit.de;AfD;2736;-0.1179;-117
AfD;www.zeit.de;Albrecht Glaser;52;-0.1065;-106
AfD;www.zeit.de;Alexander Gauland;588;-0.1638;-163
AfD;www.zeit.de;Alice Weidel;308;-0.1229;-122
AfD;www.zeit.de;Beatrix von Storch;73;-0.225;-225
AfD;www.zeit.de;Georg Pazderski;64;-0.1347;-134
AfD;www.zeit.de;Jens Maier;44;-0.1395;-139
AfD;www.zeit.de;Jörg Meuthen;254;-0.1416;-141
CDU;www.afdkompakt.de;Angela Merkel;2796;-0.4191;-419
CDU;www.afdkompakt.de;CDU;1660;-0.1023;-102
CDU;www.afdkompakt.de;Daniel Günther;1159;0.0;0
CDU;www.bayernkurier.de;Angela Merkel;338;-0.1392;-139
CDU;www.bayernkurier.de;CDU;563;-0.1078;-107
CDU;www.bayernkurier.de;Jens Spahn;37;-0.1301;-130
CDU;www.bayernkurier.de;Junge Union;43;0.017;16
CDU;www.bayernkurier.de;Thomas de Maizière;91;-0.2496;-249
CDU;www.bayernkurier.de;Wolfgang Schäuble;53;-0.2563;-256
CDU;www.bild.de;Angela Merkel;3316;-0.0958;-95
CDU;www.bild.de;Annegret Kramp-Karrenbauer;220;-0.044;-44
CDU;www.bild.de;Armin Laschet;341;-0.1129;-112
CDU;www.bild.de;CDU;4181;-0.0839;-83
CDU;www.bild.de;Daniel Günther;106;-0.0175;-17
CDU;www.bild.de;Helmut Kohl;120;-0.0814;-81
CDU;www.bild.de;Hermann Gröhe;85;-0.0818;-81
CDU;www.bild.de;Jens Spahn;293;-0.1267;-126
CDU;www.bild.de;Julia Klöckner;156;-0.0708;-70
CDU;www.bild.de;Junge Union;82;-0.1209;-120
CDU;www.bild.de;Michael Kretschmer;55;-0.0661;-66
CDU;www.bild.de;Monika Grütters;32;-0.0193;-19
CDU;www.bild.de;Norbert Lammert;31;-0.0402;-40
CDU;www.bild.de;Ole Schröder;142;-0.0642;-64
CDU;www.bild.de;Paul Ziemiak;61;-0.112;-111
CDU;www.bild.de;Peter Altmaier;224;-0.1122;-112
CDU;www.bild.de;Peter Tauber;142;-0.1448;-144
CDU;www.bild.de;Reiner Haseloff;36;-0.0556;-55
CDU;www.bild.de;Thomas Strobl;144;-0.1178;-117
CDU;www.bild.de;Thomas de Maizière;469;-0.1786;-178
CDU;www.bild.de;Ursula von der Leyen;363;-0.1807;-180
CDU;www.bild.de;Volker Bouffier;101;-0.0088;-8
CDU;www.bild.de;Volker Kauder;137;-0.119;-118
CDU;www.bild.de;Wolfgang Bosbach;72;-0.1057;-105
CDU;www.bild.de;Wolfgang Schäuble;434;-0.0739;-73
CDU;www.der-postillon.com;Angela Merkel;101;-0.1016;-101
CDU;www.der-postillon.com;CDU;52;-0.1028;-102
CDU;www.faz.net;Angela Merkel;3788;-0.092;-91
CDU;www.faz.net;Anja Karliczek;31;-0.0685;-68
CDU;www.faz.net;Annegret Kramp-Karrenbauer;265;-0.1078;-107
CDU;www.faz.net;Armin Laschet;293;-0.1472;-147
CDU;www.faz.net;CDU;5739;-0.0877;-87
CDU;www.faz.net;Carsten Linnemann;43;-0.1345;-134
CDU;www.faz.net;Daniel Günther;330;-0.0477;-47
CDU;www.faz.net;Helmut Kohl;200;-0.082;-81
CDU;www.faz.net;Hermann Gröhe;146;-0.1645;-164
CDU;www.faz.net;Jens Spahn;388;-0.0961;-96
CDU;www.faz.net;Julia Klöckner;173;-0.1179;-117
CDU;www.faz.net;Junge Union;139;-0.157;-156
CDU;www.faz.net;Konrad Adenauer;51;-0.1243;-124
CDU;www.faz.net;Ludwig Erhard;45;-0.0924;-92
CDU;www.faz.net;Michael Grosse-Brömer;32;-0.1432;-143
CDU;www.faz.net;Michael Kretschmer;34;-0.1605;-160
CDU;www.faz.net;Norbert Lammert;55;-0.0227;-22
CDU;www.faz.net;Norbert Röttgen;39;-0.1307;-130
CDU;www.faz.net;Ole Schröder;164;-0.1098;-109
CDU;www.faz.net;Paul Ziemiak;43;-0.129;-128
CDU;www.faz.net;Peter Altmaier;256;-0.1252;-125
CDU;www.faz.net;Peter Tauber;127;-0.1728;-172
CDU;www.faz.net;Ronald Pofalla;35;-0.0906;-90
CDU;www.faz.net;Thomas Strobl;78;-0.1358;-135
CDU;www.faz.net;Thomas de Maizière;517;-0.1428;-142
CDU;www.faz.net;Ursula von der Leyen;392;-0.1114;-111
CDU;www.faz.net;Volker Bouffier;216;-0.1067;-106
CDU;www.faz.net;Volker Kauder;224;-0.1106;-110
CDU;www.faz.net;Wolfgang Bosbach;39;-0.1839;-183
CDU;www.faz.net;Wolfgang Schäuble;678;-0.1053;-105
CDU;www.focus.de;Angela Merkel;10057;-0.2096;-209
CDU;www.focus.de;Anja Karliczek;49;-0.0564;-56
CDU;www.focus.de;Annegret Kramp-Karrenbauer;630;-0.0868;-86
CDU;www.focus.de;Annette Widmann-Mauz;36;-0.1393;-139
CDU;www.focus.de;Armin Laschet;822;-0.1229;-122
CDU;www.focus.de;Armin Schuster;33;-0.1423;-142
CDU;www.focus.de;CDU;9403;-0.1184;-118
CDU;www.focus.de;Carsten Linnemann;70;-0.1506;-150
CDU;www.focus.de;Daniel Günther;441;-0.0181;-18
CDU;www.focus.de;Helge Braun;42;-0.0471;-47
CDU;www.focus.de;Helmut Kohl;286;-0.1375;-137
CDU;www.focus.de;Hermann Gröhe;235;-0.1155;-115
CDU;www.focus.de;Jens Spahn;1025;-0.1495;-149
CDU;www.focus.de;Johanna Wanka;90;-0.0223;-22
CDU;www.focus.de;Julia Klöckner;535;-0.085;-85
CDU;www.focus.de;Junge Union;247;-0.1001;-100
CDU;www.focus.de;Konrad Adenauer;34;-0.1264;-126
CDU;www.focus.de;Michael Grosse-Brömer;59;-0.1115;-111
CDU;www.focus.de;Michael Kretschmer;190;-0.0901;-90
CDU;www.focus.de;Monika Grütters;36;-0.1634;-163
CDU;www.focus.de;Norbert Lammert;65;-0.0512;-51
CDU;www.focus.de;Norbert Röttgen;56;-0.1007;-100
CDU;www.focus.de;Ole Schröder;390;-0.2267;-226
CDU;www.focus.de;Paul Ziemiak;87;-0.1165;-116
CDU;www.focus.de;Peter Altmaier;540;-0.1394;-139
CDU;www.focus.de;Peter Tauber;242;-0.1675;-167
CDU;www.focus.de;Reiner Haseloff;132;-0.0236;-23
CDU;www.focus.de;Thomas Strobl;545;-0.1428;-142
CDU;www.focus.de;Thomas de Maizière;771;-0.193;-193
CDU;www.focus.de;Tobias Hans;56;-0.0181;-18
CDU;www.focus.de;Ursula von der Leyen;606;-0.202;-201
CDU;www.focus.de;Volker Bouffier;361;-0.0506;-50
CDU;www.focus.de;Volker Kauder;333;-0.1954;-195
CDU;www.focus.de;Wolfgang Bosbach;99;-0.2146;-214
CDU;www.focus.de;Wolfgang Schäuble;851;-0.1695;-169
CDU;www.fr.de;Angela Merkel;3000;-0.1219;-121
CDU;www.fr.de;Annegret Kramp-Karrenbauer;157;-0.0654;-65
CDU;www.fr.de;Armin Laschet;143;-0.0559;-55
CDU;www.fr.de;CDU;4715;-0.1045;-104
CDU;www.fr.de;Helmut Kohl;139;-0.0974;-97
CDU;www.fr.de;Jens Spahn;346;-0.1363;-136
CDU;www.fr.de;Johanna Wanka;45;-0.0789;-78
CDU;www.fr.de;Junge Union;110;-0.1248;-124
CDU;www.fr.de;Michael Kretschmer;63;-0.0958;-95
CDU;www.fr.de;Norbert Lammert;49;-0.1492;-149
CDU;www.fr.de;Paul Ziemiak;33;-0.0501;-50
CDU;www.fr.de;Peter Altmaier;613;-0.2698;-269
CDU;www.fr.de;Peter Tauber;99;-0.0929;-92
CDU;www.fr.de;Stefan Sauer;109;-0.1749;-174
CDU;www.fr.de;Thomas Strobl;35;-0.0896;-89
CDU;www.fr.de;Ursula von der Leyen;252;-0.1525;-152
CDU;www.fr.de;Volker Bouffier;417;-0.0888;-88
CDU;www.fr.de;Volker Kauder;115;-0.1229;-122
CDU;www.gruene.de;Angela Merkel;42;-0.1277;-127
CDU;www.gruene.de;CDU;57;-0.1566;-156
CDU;www.handelsblatt.de;Angela Merkel;1745;-0.1199;-119
CDU;www.handelsblatt.de;Annegret Kramp-Karrenbauer;110;-0.0271;-27
CDU;www.handelsblatt.de;Armin Laschet;147;-0.0581;-58
CDU;www.handelsblatt.de;CDU;2031;-0.0888;-88
CDU;www.handelsblatt.de;Daniel Günther;35;0.0175;17
CDU;www.handelsblatt.de;Helmut Kohl;44;-0.1066;-106
CDU;www.handelsblatt.de;Jens Spahn;99;-0.1029;-102
CDU;www.handelsblatt.de;Julia Klöckner;32;0.0168;16
CDU;www.handelsblatt.de;Junge Union;42;-0.0151;-15
CDU;www.handelsblatt.de;Ole Schröder;36;-0.0834;-83
CDU;www.handelsblatt.de;Peter Altmaier;115;-0.0424;-42
CDU;www.handelsblatt.de;Peter Tauber;48;-0.0719;-71
CDU;www.handelsblatt.de;Thomas de Maizière;170;-0.1844;-184
CDU;www.handelsblatt.de;Ursula von der Leyen;177;-0.1832;-183
CDU;www.handelsblatt.de;Volker Bouffier;34;-0.0421;-42
CDU;www.handelsblatt.de;Volker Kauder;67;-0.1052;-105
CDU;www.handelsblatt.de;Wolfgang Schäuble;352;-0.0961;-96
CDU;www.huffingtonpost.de;Angela Merkel;3345;-0.12;-119
CDU;www.huffingtonpost.de;Annegret Kramp-Karrenbauer;137;-0.0578;-57
CDU;www.huffingtonpost.de;Armin Laschet;188;-0.0815;-81
CDU;www.huffingtonpost.de;CDU;3093;-0.1081;-108
CDU;www.huffingtonpost.de;Daniel Günther;48;-0.0433;-43
CDU;www.huffingtonpost.de;Helmut Kohl;72;-0.1391;-139
CDU;www.huffingtonpost.de;Hermann Gröhe;62;-0.0304;-30
CDU;www.huffingtonpost.de;Jens Spahn;711;-0.0611;-61
CDU;www.huffingtonpost.de;Julia Klöckner;144;-0.055;-55
CDU;www.huffingtonpost.de;Junge Union;81;-0.0854;-85
CDU;www.huffingtonpost.de;Ole Schröder;87;-0.1029;-102
CDU;www.huffingtonpost.de;Paul Ziemiak;126;-0.0818;-81
CDU;www.huffingtonpost.de;Peter Altmaier;141;-0.1151;-115
CDU;www.huffingtonpost.de;Peter Tauber;140;-0.1023;-102
CDU;www.huffingtonpost.de;Thomas Strobl;72;-0.1385;-138
CDU;www.huffingtonpost.de;Thomas de Maizière;301;-0.1685;-168
CDU;www.huffingtonpost.de;Ursula von der Leyen;166;-0.12;-120
CDU;www.huffingtonpost.de;Volker Bouffier;46;-0.1622;-162
CDU;www.huffingtonpost.de;Volker Kauder;116;-0.1049;-104
CDU;www.huffingtonpost.de;Wolfgang Bosbach;37;-0.1842;-184
CDU;www.huffingtonpost.de;Wolfgang Schäuble;286;-0.1175;-117
CDU;www.jungefreiheit.de;Angela Merkel;604;-0.2624;-262
CDU;www.jungefreiheit.de;CDU;768;-0.1768;-176
CDU;www.jungefreiheit.de;Jens Spahn;45;-0.2293;-229
CDU;www.jungefreiheit.de;Thomas de Maizière;101;-0.1933;-193
CDU;www.jungefreiheit.de;Ursula von der Leyen;59;-0.2636;-263
CDU;www.jungefreiheit.de;Wolfgang Schäuble;34;-0.209;-209
CDU;www.jungewelt.de;Angela Merkel;325;-0.1625;-162
CDU;www.jungewelt.de;Armin Laschet;33;-0.0465;-46
CDU;www.jungewelt.de;CDU;816;-0.1117;-111
CDU;www.jungewelt.de;Jens Spahn;43;-0.1953;-195
CDU;www.jungewelt.de;Thomas de Maizière;83;-0.1737;-173
CDU;www.jungewelt.de;Ursula von der Leyen;67;-0.1107;-110
CDU;www.jungewelt.de;Wolfgang Schäuble;58;-0.123;-123
CDU;www.n-tv.de;Angela Merkel;3559;-0.144;-144
CDU;www.n-tv.de;Annegret Kramp-Karrenbauer;240;-0.1062;-106
CDU;www.n-tv.de;Armin Laschet;244;-0.1328;-132
CDU;www.n-tv.de;CDU;2660;-0.1297;-129
CDU;www.n-tv.de;Carsten Linnemann;32;-0.1294;-129
CDU;www.n-tv.de;Daniel Günther;72;-0.1612;-161
CDU;www.n-tv.de;Helmut Kohl;115;-0.1107;-110
CDU;www.n-tv.de;Hermann Gröhe;70;-0.1207;-120
CDU;www.n-tv.de;Jens Spahn;326;-0.1115;-111
CDU;www.n-tv.de;Julia Klöckner;165;-0.1692;-169
CDU;www.n-tv.de;Junge Union;129;-0.1113;-111
CDU;www.n-tv.de;Michael Grosse-Brömer;35;-0.0176;-17
CDU;www.n-tv.de;Michael Kretschmer;37;-0.2209;-220
CDU;www.n-tv.de;Norbert Röttgen;33;-0.3161;-316
CDU;www.n-tv.de;Ole Schröder;101;-0.0958;-95
CDU;www.n-tv.de;Paul Ziemiak;62;-0.1439;-143
CDU;www.n-tv.de;Peter Altmaier;193;-0.1108;-110
CDU;www.n-tv.de;Peter Tauber;126;-0.1024;-102
CDU;www.n-tv.de;Thomas Strobl;64;-0.1675;-167
CDU;www.n-tv.de;Thomas de Maizière;464;-0.2332;-233
CDU;www.n-tv.de;Ursula von der Leyen;319;-0.1697;-169
CDU;www.n-tv.de;Volker Bouffier;51;-0.0519;-51
CDU;www.n-tv.de;Volker Kauder;174;-0.1084;-108
CDU;www.n-tv.de;Wolfgang Bosbach;40;-0.2727;-272
CDU;www.n-tv.de;Wolfgang Schäuble;384;-0.0812;-81
CDU;www.national-zeitung.de;Angela Merkel;60;-0.1518;-151
CDU;www.neues-deutschland.de;Angela Merkel;1531;-0.1455;-145
CDU;www.neues-deutschland.de;Annegret Kramp-Karrenbauer;117;-0.03;-29
CDU;www.neues-deutschland.de;Armin Laschet;119;-0.0943;-94
CDU;www.neues-deutschland.de;CDU;4068;-0.0927;-92
CDU;www.neues-deutschland.de;Daniel Günther;39;0.0122;12
CDU;www.neues-deutschland.de;Helmut Kohl;233;-0.0976;-97
CDU;www.neues-deutschland.de;Hermann Gröhe;46;-0.1932;-193
CDU;www.neues-deutschland.de;Jens Spahn;159;-0.1483;-148
CDU;www.neues-deutschland.de;Johanna Wanka;54;-0.0292;-29
CDU;www.neues-deutschland.de;Julia Klöckner;66;-0.1114;-111
