AfD;AfD;AfD;AfD;party name
AfD;AfD;AfD;AfD;party name
Albrecht Glaser;Albrecht;Glaser;AfD;deputy chairperson
Alexander Dobrindt;Alexander;Dobrindt;CSU;minister government 1
Alexander Gauland;Alexander;Gauland;AfD;deputy chairperson
Ali Al-Dailami;Ali;Al-Dailami;Die Linke;deputy chairperson
Andrea Nahles;Andrea;Nahles;SPD;chairperson
Andreas Scheuer;Andreas;Scheuer;CSU;minister government 2
Angela Merkel;Angela;Merkel;CDU;Chancellor
Angelika Niebler;Angelika;Niebler;CSU;deputy chairperson
Anja Karliczek;Anja;Karliczek;CDU;minister government 2
Annalena Baerbock;Annalena;Baerbock;Die Grünen;chairperson
Annegret Kramp-Karrenbauer;Annegret;Kramp-Karrenbauer;CDU;secretary general
Armin Laschet;Armin;Laschet;CDU;deputy chairperson
Axel Troost;Axel;Troost;Die Linke;deputy chairperson
Barbara Hendricks;Barbara;Hendricks;SPD;minister government 1
Bernd Riexinger;Bernd;Riexinger;Die Linke;chairperson
Bodo Ramelow;Bodo;Ramelow;Die Linke;state premier
Brigitte Zypries;Brigitte;Zypries;SPD;minister government 1
Bündnis 90;Bündnis 90;Bündnis;Die Grünen;party name
Carsten Sieling;Carsten;Sieling;SPD;state premier
CDU;CDU;CDU;CDU;party name
Christian Lindner;Christian;Lindner;FDP;chairperson
Christian Schmidt;Christian;Schmidt;CSU;minister government 1
CSU;CSU;CSU;CSU;party name
Daniel Günther;Daniel;Günther;CDU;state premier
Die Linke;Die Linke;Die Linke;Die Linke;party name
Die Partei;Die Partei;Die Partei;Die Partei;party name
die Piratenpartei;Die Piratenpartei;Die Piratenpartei;Piratenpartei;party name
Dietmar Woidke;Dietmar;Woidke;SPD;state premier
Dorothee Bär;Dorothee;Bär;CSU;deputy chairperson
FDP;FDP;FDP;FDP;party name
Frank-Walter Steinmeier;Frank-Walter;Steinmeier;SPD;member of federal parliament 1
Franziska Giffey;Franziska;Giffey;SPD;minister government 2
Georg Pazderski;Georg;Pazderski;AfD;deputy chairperson
Gerd Müller;Gerd;Müller;CSU;minister government 1
Gesine Agena;Gesine;Agena;Die Grünen;deputy chairperson
Grüne Jugend;Grüne;Jugend;Die Grünen;youth organization name
Hans-Peter Friedrich;Hans-Peter;Friedrich;CSU;minister government 1
Heiko Maas;Heiko;Maas;SPD;minister government 1
Helge Braun;Helge;Braun;CDU;minister government 2
Hermann Gröhe;Hermann;Gröhe;CDU;minister government 1
Horst Seehofer;Horst;Seehofer;CSU;chairperson
Hubertus Heil;Hubertus;Heil;SPD;minister government 2
Jamila Schäfer;Jamila;Schäfer;Die Grünen;deputy chairperson
Janine Wissler;Janine;Wissler;Die Linke;deputy chairperson
Jens Spahn;Jens;Spahn;CDU;minister government 2
Johanna Wanka;Johanna;Wanka;CDU;minister government 1
Jörg Meuthen;Jörg;Meuthen;AfD;chairperson
Jörg Schindler;Jörg;Schindler;Die Linke;secretary general
Julia Klöckner;Julia;Klöckner;CDU;deputy chairperson
Junge Alternative;Junge;Alternative;AfD;youth organization name
Junge Liberale;Junge;Liberale;FDP;youth organization name
Junge Union;Junge;Union;CDU;youth organization name
Jungsozialisten;Jungsozialisten;Jungsozialisten;SPD;youth organization name
Jusos;Jusos;Jusos;SPD;youth organization name
Katarina Barley;Katarina;Barley;SPD;minister government 1
Katja Kipping;Katja;Kipping;Die Linke;chairperson
Katja Suding;Katja;Suding;FDP;deputy chairperson
Kay Gottschalk;Kay;Gottschalk;AfD;deputy chairperson
Kurt Gribl;Kurt;Gribl;CSU;deputy chairperson
Lars Klingbeil;Lars;Klingbeil;SPD;secretary general
Linksjugend;Linksjugend;Linksjugend;Die Linke;youth organization name
Malu Dreyer;Malu;Dreyer;SPD;deputy chairperson
Manfred Weber;Manfred;Weber;CSU;deputy chairperson
Manuela Schwesig;Manuela;Schwesig;SPD;deputy chairperson
Marie-Agnes Strack-Zimmermann;Marie-Agnes;Strack-Zimmermann;FDP;deputy chairperson
Markus Blume;Markus;Blume;CSU;secretary general
Markus Söder;Markus;Söder;CSU;state premier
Martin Schulz;Martin;Schulz;SPD;chairperson
Martina Renner;Martina;Renner;Die Linke;deputy chairperson
Melanie Huml;Melanie;Huml;CSU;deputy chairperson
Michael Kellner;Michael;Kellner;Die Grünen;secretary general
Michael Kretschmer;Michael;Kretschmer;CDU;state premier
Michael Müller;Michael;Müller;SPD;state premier
Natascha Kohnen;Natascha;Kohnen;SPD;deputy chairperson
Nicola Beer;Nicola;Beer;FDP;secretary general
NPD;NPD;NPD;NPD;party name
Olaf Scholz;Olaf;Scholz;SPD;deputy chairperson
Peter Altmaier;Peter;Altmaier;CDU;minister government 1
Peter Tschentscher;Peter;Tschentscher;SPD;state premier
Ralf Stegner;Ralf;Stegner;SPD;deputy chairperson
Reiner Haseloff;Reiner;Haseloff;CDU;state premier
Robert Habeck;Robert;Habeck;Die Grünen;chairperson
Sigmar Gabriel;Sigmar;Gabriel;SPD;minister government 1
Simone Oldenburg;Simone;Oldenburg;Die Linke;deputy chairperson
SPD;SPD;SPD;SPD;party name
Stephan Weil;Stephan;Weil;SPD;state premier
Svenja Schulze;Svenja;Schulze;SPD;minister government 2
Thomas de Maizière;Thomas;de Maizière;CDU;minister government 1
Thomas Strobl;Thomas;Strobl;CDU;deputy chairperson
Thorsten Schäfer-Gümbel;Thorsten;Schäfer-Gümbel;SPD;deputy chairperson
Tobias Hans;Tobias;Hans;CDU;state premier
Tobias Pflüger;Tobias;Pflüger;Die Linke;deputy chairperson
Ursula von der Leyen;Ursula;von der Leyen;CDU;deputy chairperson
Volker Bouffier;Volker;Bouffier;CDU;deputy chairperson
Winfried Kretschmann;Winfried;Kretschmann;Bündnis 90/Die Grünen;state premier
Wolfgang Kubicki;Wolfgang;Kubicki;FDP;deputy chairperson
Wolfgang Schäuble;Wolfgang;Schäuble;CDU;minister government 1